#,Store_ID,Store_Name,Metro_City,Invoice_ID,Bill_date,Date,Month,Week,Hour,Barcode,Local_Item_Code,Item_Description,Centralized_Description,Brand,Manufacturer_Name,Category,Sub_Category,Quantity,Selling_Price,Total_Amount,MRP,Bill_Amount,Loose_Item_Flag,is_credit,Pincode,State,Zone,Market_Cap,Payment_Mode,Payment_Type
81,10765,LOTUS SUPER STORE,Bharuch,10765-1118003851,01/01/2019 09:23:59 PM,01/01/2019,JAN19,W0,21,8906048471043,,SHRI HARI PAU BHAJI MASALA 30/-,SHRI HARI PAV BHAJI MASALA 30/-,SHRI HARI,SHRI HARI MASALA,MASALA POWDER,BHAJI MASALA POWDER,1,30,30,30,981,NO,NO,392001,Gujarat,West,Surat,CASH,CURRENT
82,10765,LOTUS SUPER STORE,Bharuch,10765-1118003851,01/01/2019 09:23:59 PM,01/01/2019,JAN19,W0,21,8901314307286,,COLGATE 1 NO BLSTR SUPER SHINE SOFT HELPS REMOVE STAINS+RS 2 OFF,COLGATE 1 NO BLSTR SUPER SHINE SOFT HELPS REMOVE STAINS+RS 2 OFF,COLGATE,COLGATE PALMOLIVE INDIA LTD,TOOTH BRUSH,SOFT,1,20,20,20,981,NO,NO,392001,Gujarat,West,Surat,CASH,CURRENT
83,10765,LOTUS SUPER STORE,Bharuch,10765-1118003851,01/01/2019 09:23:59 PM,01/01/2019,JAN19,W0,21,8901314013392,,COLGATE TOOTHPOWDER - WITH CALCIUM & MINERALS ANTI-CAVITY 100 GM,COLGATE CALCIUM TOOTHPOWDER 100G,COLGATE,COLGATE PALMOLIVE INDIA LTD,TOOTH POWDER,,1,39,39,39,981,NO,NO,392001,Gujarat,West,Surat,CASH,CURRENT
84,10765,LOTUS SUPER STORE,Bharuch,10765-1118003851,01/01/2019 09:23:59 PM,01/01/2019,JAN19,W0,21,8906048471142,,SHRI HARI [OTHER] 50 GM PLPCH SPECIAL UNDHIYA MASALA [BLND],HARI UNDHIYA MASALA 50G,HARI,SHRI HARI MASALA,MASALA POWDER,UNDHIA MASALA POWDER,1,30,30,30,981,NO,NO,392001,Gujarat,West,Surat,CASH,CURRENT
85,10765,LOTUS SUPER STORE,Bharuch,10765-1118003851,01/01/2019 09:23:59 PM,01/01/2019,JAN19,W0,21,8901314307712,,COLGATE 175G CDB CIBACA 123 FRSR STRN WHT TTH+21G VEDSHAKTI TPST FR,COLGATE 175G CDB CIBACA 123 FRSR STRN WHT TTH+21G VEDSHAKTI TPST FR,COLGATE,COLGATE PALMOLIVE LTD,TOOTH PASTE & GELS,,2,50,100,50,981,NO,NO,392001,Gujarat,West,Surat,CASH,CURRENT
86,10765,LOTUS SUPER STORE,Bharuch,10765-1118003851,01/01/2019 09:23:59 PM,01/01/2019,JAN19,W0,21,8901314307569,,COLGATE TOOTHPASTE - TOTAL ADVANCED HEALTH SAVER PACK 120 GM (PACK OF 2),COLGATE TOTAL ADVANCED HEALTH 120G,COLGATE,COLGATE PALMOLIVE INDIA LTD,TOOTH PASTE & GELS,,1,85,85,85,981,NO,NO,392001,Gujarat,West,Surat,CASH,CURRENT
87,10765,LOTUS SUPER STORE,Bharuch,10765-1118003851,01/01/2019 09:23:59 PM,01/01/2019,JAN19,W0,21,8901314114426,,COLGATE TOOTHPASTE - MAXFRESH BLUE PEPPERMINT ICE GEL 150 GM,COLGATE TOOTHPASTE MAXFRESH BLUE 150G,COLGATE,COLGATE PALMOLIVE INDIA LTD,TOOTH PASTE & GELS,GEL,1,90,90,90,981,NO,NO,392001,Gujarat,West,Surat,CASH,CURRENT
88,10765,LOTUS SUPER STORE,Bharuch,10765-1118003852,01/02/2019 11:06:39 AM,02/01/2019,JAN19,W0,11,8901233024769,,CADBURY CELEBRATION ASSORTED CHOCOLATE GIFT PACK 121.3 GM,CADBURY CELEBRATION ASSORTED CHOCOLATE GIFT PACK 121.3 GM,CADBURY CELEBRATIONS,MONDELEZ INTERNATIONAL,,,50,100,5000,100,5000,NO,YES,392001,Gujarat,West,Surat,CASH,CREDIT
89,10765,LOTUS SUPER STORE,Bharuch,10765-1018000031,01/29/2019 11:44:37 AM,29/01/2019,JAN19,W4,11,89007495,,MUNCH 10.1KG CHOLOLATE,NESTLE MUNCH CHOCOLATE 10.1G,NESTLE MUNCH,NESTLE INDIA LTD,WAFER CHOCOLATE,,9,5,45,5,89.63,NO,NO,392001,Gujarat,West,Surat,CASH,CURRENT
90,10765,LOTUS SUPER STORE,Bharuch,10765-1118003837,01/01/2019 01:13:54 PM,01/01/2019,JAN19,W0,13,89006702,,NESTLE NESCAFE CLASSIC COFFEE POWDER (JAR ) 0.100GM,NESCAFE CLASSIC DAWN JAR 100G,NESCAFE CLASSIC,NESTLE INDIA LTD,INSTANT COFFEE,,2,265,530,265,2693,NO,YES,392001,Gujarat,West,Surat,CASH,CREDIT
91,10765,LOTUS SUPER STORE,Bharuch,10765-1118003838,01/01/2019 03:44:55 PM,01/01/2019,JAN19,W0,15,8901023018145,,GODREJ AER VIOLET VALLEY BLOOM MATIC REFILL 225ML.,GODREJ AER MATIC - AUTOMATIC AIR FRESHENER REFILL PACK VIOLET VALLEY BLOOM 225 ML,GODREJ,GODREJ CONSUMER PRODUCTS LTD,SPRAY,REFILL,1,249,249,249,249,NO,NO,392001,Gujarat,West,Surat,CASH,CURRENT
92,10765,LOTUS SUPER STORE,Bharuch,10765-1118003839,01/01/2019 05:44:31 PM,01/01/2019,JAN19,W0,17,8901396151463,,HARPIC TOILET CLEANER 500ML (BUY 2GET 1),HARPIC TOILET CLEANER 500ML,HARPIC,RECKITT BENCKISER INDIA PVT LTD,TOILET & BATHROOM CLEANERS,LIQUID CLEANERS,1,210,210,210,365,NO,YES,392001,Gujarat,West,Surat,CASH,CREDIT
93,10765,LOTUS SUPER STORE,Bharuch,10765-1118003839,01/01/2019 05:44:31 PM,01/01/2019,JAN19,W0,17,8901058847000,,MAGGI NO ONION AND GARLIC MASALA(JAIN) NOODLES 70 GM,MAGGI MASALA NOODLES - NO ONION & GARLIC 70 G,MAGGI,NESTLE INDIA LTD,NOODLES,READY TO COOK,2,14,28,14,365,NO,YES,392001,Gujarat,West,Surat,CASH,CREDIT
94,10765,LOTUS SUPER STORE,Bharuch,10765-1118003839,01/01/2019 05:44:31 PM,01/01/2019,JAN19,W0,17,8901396476009,,COLIN GLASS CLEANER PUMP 2X MORE SHINE WITH SHINE BOOSTERS - 500 ML *82,COLIN GLASS CLEANER PUMP 2X MORE SHINE WITH SHINE BOOSTERS 500ML,COLIN,RECKITT BENCKISER INDIA PVT LTD,FLOOR & SURFACE CLEANERS,LIQUID,1,82,82,82,365,NO,YES,392001,Gujarat,West,Surat,CASH,CREDIT
95,10765,LOTUS SUPER STORE,Bharuch,10765-1118003839,01/01/2019 05:44:31 PM,01/01/2019,JAN19,W0,17,8901058860726,,MAGGI 2-MINUTE SPECIAL MASALA INSTANT NOODLES 70 G (VEGETARIAN),MAGGI 2-MINUTE SPECIAL MASALA INSTANT NOODLES 70 G(VEGETARIAN),MAGGI,NESTLE INDIA LTD,NOODLES,READY TO COOK,3,15,45,15,365,NO,YES,392001,Gujarat,West,Surat,CASH,CREDIT
96,10765,LOTUS SUPER STORE,Bharuch,10765-1118003840,01/01/2019 07:15:03 PM,01/01/2019,JAN19,W0,19,8901725136048,,SUNFEAST DELISHUS COOKIE NUT BISCOTTI 75G,,,,,,15,30,450,30,4471,NO,YES,392001,Gujarat,West,Surat,CASH,CREDIT
97,10765,LOTUS SUPER STORE,Bharuch,10765-1118003840,01/01/2019 07:15:03 PM,01/01/2019,JAN19,W0,19,8906017290026,,BISLERI MINERAL WATER 250 ML CARTON (PACK OF48 PC),BISLERI WATER - MINERAL 250ML BOTTLE,BISLERI,BISLERI INTERNATIONAL PVT LTD,PACKAGED WATER,,48,6,288,6,4471,NO,YES,392001,Gujarat,West,Surat,CASH,CREDIT
98,10765,LOTUS SUPER STORE,Bharuch,10765-1118003842,01/01/2019 09:20:29 PM,01/01/2019,JAN19,W0,21,8901058101614,,MAGGI SAUCE - HOT & SWEET (TOMATO CHILLI) 1 KG BOTTLE,MAGGI HOT & SWEET CHILLI SAUCE 1 KG,MAGGI,NESTLE INDIA LTD,SAUCES,TOMATO CHILLI SAUCE,1,150,150,150,3535,NO,NO,392001,Gujarat,West,Surat,CASH,CURRENT
99,10765,LOTUS SUPER STORE,Bharuch,10765-1118003842,01/01/2019 09:20:29 PM,01/01/2019,JAN19,W0,21,8901088017411,,SAFFOLA GOLD LOSORB TECHNOLOGY 5 LET JAR +1LTR POUCH FREE 799/-,SAFFOLA GOLD LOSORB TECHNOLOGY 5LTR,SAFFOLA,MARICO INDIA LTD,COOKING OILS,EDIBLE OIL,2,750,1500,750,3535,NO,NO,392001,Gujarat,West,Surat,CASH,CURRENT
100,10765,LOTUS SUPER STORE,Bharuch,10765-1118003842,01/01/2019 09:20:29 PM,01/01/2019,JAN19,W0,21,8901361270304,,SCOTCH BRITE HEAVY DUTY SMALL 1 PC,SCOTCH-BRITE SUPER STRONG 1PCS,SCOTCH BRITE,3M INDIA LTD,KITCHEN APPLIANCES,SCRUBBER,1,25,25,25,3535,NO,NO,392001,Gujarat,West,Surat,CASH,CURRENT
